Epoch  99 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.101, Time: 1398.6960010528564
Epoch 100 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.079, Time: 1412.904813528061
Epoch 101 : Train Acc:  93.8%, Dev Acc:  89.1%, Dev Loss: 0.105, Time: 1427.1226267814636
Epoch 102 : Train Acc:  95.3%, Dev Acc:  82.8%, Dev Loss: 0.140, Time: 1441.341439962387
Epoch 103 : Train Acc:  95.3%, Dev Acc:  92.2%, Dev Loss: 0.086, Time: 1455.5602533817291
Epoch 104 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.170, Time: 1469.7690660953522
Epoch 105 : Train Acc:  93.8%, Dev Acc:  89.1%, Dev Loss: 0.114, Time: 1483.9708783626556
Epoch 106 : Train Acc:  95.3%, Dev Acc:  90.6%, Dev Loss: 0.079, Time: 1498.1926918029785
Epoch 107 : Train Acc:  96.9%, Dev Acc:  89.1%, Dev Loss: 0.111, Time: 1512.4025044441223
Epoch 108 : Train Acc:  95.3%, Dev Acc:  85.9%, Dev Loss: 0.143, Time: 1526.6243178844452
Epoch 109 : Train Acc:  96.9%, Dev Acc:  92.2%, Dev Loss: 0.087, Time: 1540.825130224228
Epoch 110 : Train Acc:  96.9%, Dev Acc:  82.8%, Dev Loss: 0.178, Time: 1555.0659449100494
Epoch 111 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.125, Time: 1569.2977588176727
Epoch 112 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.080, Time: 1583.5015711784363
Epoch 113 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.115, Time: 1597.7123839855194
Epoch 114 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.154, Time: 1611.9131963253021
Epoch 115 : Train Acc:  96.9%, Dev Acc:  92.2%, Dev Loss: 0.090, Time: 1626.1160085201263
Epoch 116 : Train Acc:  96.9%, Dev Acc:  82.8%, Dev Loss: 0.190, Time: 1640.329821586609
Epoch 117 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.138, Time: 1654.5416343212128
Epoch 118 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.084, Time: 1668.7374465465546
Epoch 119 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.121, Time: 1682.9312582015991
Epoch 120 : Train Acc:  96.9%, Dev Acc:  89.1%, Dev Loss: 0.172, Time: 1697.1300702095032
Epoch 121 : Train Acc:  96.9%, Dev Acc:  92.2%, Dev Loss: 0.099, Time: 1711.3408832550049
Epoch 122 : Train Acc:  96.9%, Dev Acc:  82.8%, Dev Loss: 0.197, Time: 1725.5376951694489
Epoch 123 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.149, Time: 1739.731507062912
Epoch 124 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.085, Time: 1753.9443199634552
Epoch 125 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.128, Time: 1768.2011353969574
Epoch 126 : Train Acc:  96.9%, Dev Acc:  89.1%, Dev Loss: 0.186, Time: 1782.4109480381012
Epoch 127 : Train Acc:  96.9%, Dev Acc:  92.2%, Dev Loss: 0.104, Time: 1796.6207609176636
Epoch 128 : Train Acc:  98.4%, Dev Acc:  82.8%, Dev Loss: 0.206, Time: 1810.8465745449066
Epoch 129 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.164, Time: 1825.0423865318298
Epoch 130 : Train Acc:  98.4%, Dev Acc:  90.6%, Dev Loss: 0.087, Time: 1839.2521991729736
Epoch 131 : Train Acc:  98.4%, Dev Acc:  90.6%, Dev Loss: 0.147, Time: 1853.4650123119354
Epoch 132 : Train Acc:  98.4%, Dev Acc:  85.9%, Dev Loss: 0.204, Time: 1867.6868257522583
Epoch 133 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.109, Time: 1881.8836374282837
Epoch 134 : Train Acc:  98.4%, Dev Acc:  82.8%, Dev Loss: 0.208, Time: 1896.0834498405457
Epoch 135 : Train Acc:  98.4%, Dev Acc:  87.5%, Dev Loss: 0.181, Time: 1910.2962627410889
Epoch 136 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.086, Time: 1924.4990751743317
Epoch 137 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.150, Time: 1938.7068877220154
Epoch 138 : Train Acc:  98.4%, Dev Acc:  85.9%, Dev Loss: 0.225, Time: 1952.9086999893188
Epoch 139 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.114, Time: 1967.119512796402
Epoch 140 : Train Acc:  98.4%, Dev Acc:  84.4%, Dev Loss: 0.214, Time: 1981.3403260707855
Epoch 141 : Train Acc:  98.4%, Dev Acc:  85.9%, Dev Loss: 0.201, Time: 1995.5461387634277
Epoch 142 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.092, Time: 2009.7529513835907
Epoch 143 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.151, Time: 2023.9647641181946
Epoch 144 : Train Acc:  98.4%, Dev Acc:  84.4%, Dev Loss: 0.251, Time: 2038.1775772571564
Epoch 145 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.117, Time: 2052.4213919639587
Epoch 146 : Train Acc:  98.4%, Dev Acc:  85.9%, Dev Loss: 0.219, Time: 2066.6262044906616
Epoch 147 : Train Acc:  98.4%, Dev Acc:  87.5%, Dev Loss: 0.213, Time: 2080.864018678665
Epoch 148 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.099, Time: 2095.1188340187073
Epoch 149 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.168, Time: 2109.396650791168
Epoch 150 : Train Acc:  98.4%, Dev Acc:  81.2%, Dev Loss: 0.281, Time: 2123.6584663391113
Epoch 151 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.125, Time: 2137.890280485153
Epoch 152 : Train Acc:  98.4%, Dev Acc:  84.4%, Dev Loss: 0.218, Time: 2152.123094558716
Epoch 153 : Train Acc:  98.4%, Dev Acc:  84.4%, Dev Loss: 0.234, Time: 2166.373909473419
Epoch 154 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.103, Time: 2180.6467258930206
Epoch 155 : Train Acc:  96.9%, Dev Acc:  89.1%, Dev Loss: 0.177, Time: 2194.8995413780212
Epoch 156 : Train Acc:  96.9%, Dev Acc:  82.8%, Dev Loss: 0.308, Time: 2209.1793580055237
Epoch 157 : Train Acc:  96.9%, Dev Acc:  92.2%, Dev Loss: 0.132, Time: 2223.4351732730865
Epoch 158 : Train Acc: 100.0%, Dev Acc:  85.9%, Dev Loss: 0.267, Time: 2237.6999893188477
Epoch 159 : Train Acc:  98.4%, Dev Acc:  84.4%, Dev Loss: 0.236, Time: 2251.93080329895
Epoch 160 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.101, Time: 2266.1836183071136
Epoch 161 : Train Acc:  98.4%, Dev Acc:  90.6%, Dev Loss: 0.160, Time: 2280.4304332733154
Epoch 162 : Train Acc:  98.4%, Dev Acc:  84.4%, Dev Loss: 0.290, Time: 2294.680248260498
Epoch 163 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.137, Time: 2308.93506360054
Epoch 164 : Train Acc:  98.4%, Dev Acc:  82.8%, Dev Loss: 0.294, Time: 2323.184878587723
Epoch 165 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.246, Time: 2337.4546949863434
Epoch 166 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.121, Time: 2351.675508260727
Epoch 167 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.161, Time: 2365.9083223342896
Epoch 168 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.269, Time: 2380.146136522293
Epoch 169 : Train Acc: 100.0%, Dev Acc:  92.2%, Dev Loss: 0.131, Time: 2394.427953481674
Epoch 170 : Train Acc: 100.0%, Dev Acc:  89.1%, Dev Loss: 0.323, Time: 2408.686769247055
Epoch 171 : Train Acc:  98.4%, Dev Acc:  90.6%, Dev Loss: 0.200, Time: 2422.913582801819
Epoch 172 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.109, Time: 2437.145396709442
Epoch 173 : Train Acc: 100.0%, Dev Acc:  92.2%, Dev Loss: 0.139, Time: 2451.3532094955444
Epoch 174 : Train Acc: 100.0%, Dev Acc:  89.1%, Dev Loss: 0.264, Time: 2465.618025302887
Epoch 175 : Train Acc: 100.0%, Dev Acc:  92.2%, Dev Loss: 0.142, Time: 2479.819837808609
Epoch 176 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.271, Time: 2494.0716528892517
Epoch 177 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.210, Time: 2508.316467523575
Epoch 178 : Train Acc: 100.0%, Dev Acc:  92.2%, Dev Loss: 0.099, Time: 2522.5622823238373
Epoch 179 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.211, Time: 2536.81609749794
Epoch 180 : Train Acc: 100.0%, Dev Acc:  82.8%, Dev Loss: 0.301, Time: 2551.06791305542
Epoch 181 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.159, Time: 2565.3457295894623
Epoch 182 : Train Acc: 100.0%, Dev Acc:  85.9%, Dev Loss: 0.341, Time: 2579.612545490265
Epoch 183 : Train Acc: 100.0%, Dev Acc:  85.9%, Dev Loss: 0.220, Time: 2593.863360643387
Epoch 184 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.096, Time: 2608.222182035446
Epoch 185 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.225, Time: 2622.5039987564087
Epoch 186 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.329, Time: 2636.745813369751
Epoch 187 : Train Acc: 100.0%, Dev Acc:  89.1%, Dev Loss: 0.156, Time: 2650.939625263214
Epoch 188 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.315, Time: 2665.1574382781982
Epoch 189 : Train Acc: 100.0%, Dev Acc:  89.1%, Dev Loss: 0.224, Time: 2679.3972527980804
Epoch 190 : Train Acc: 100.0%, Dev Acc:  92.2%, Dev Loss: 0.102, Time: 2693.6590683460236
Epoch 191 : Train Acc: 100.0%, Dev Acc:  89.1%, Dev Loss: 0.242, Time: 2707.9178841114044
Epoch 192 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.343, Time: 2722.178699731827
Epoch 193 : Train Acc: 100.0%, Dev Acc:  89.1%, Dev Loss: 0.176, Time: 2736.4345152378082
Epoch 194 : Train Acc: 100.0%, Dev Acc:  85.9%, Dev Loss: 0.337, Time: 2750.7203323841095
Epoch 195 : Train Acc: 100.0%, Dev Acc:  85.9%, Dev Loss: 0.253, Time: 2764.943145751953
Epoch 196 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.117, Time: 2779.1969611644745
Epoch 197 : Train Acc: 100.0%, Dev Acc:  89.1%, Dev Loss: 0.231, Time: 2793.5007791519165
Epoch 198 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.349, Time: 2807.762594938278
Epoch 199 : Train Acc: 100.0%, Dev Acc:  89.1%, Dev Loss: 0.168, Time: 2822.03241109848
Epoch 200 : Train Acc: 100.0%, Dev Acc:  85.9%, Dev Loss: 0.329, Time: 2836.3022272586823
